dots,data1,data2
1,9.0,0.0
2,4.5,0.5625
3,3.0740740740740744,1.06640625
5,1.9036800000000003,1.3166015625
8,1.423828125,1.0102615356445312
13,1.1851475788662857,0.5574142015897311
21,1.080830518148303,0.9744337626865932
34,1.0345242513858781,0.8668403485242058
55,1.0146170562120072,1.0616652320054445
89,1.0061234663262986,0.9442258002131843
144,1.0025462851330311,1.0453778904629871
233,1.0010516298680967,0.9931383760188943
377,1.000431900897215,1.0147418868002702
610,1.0001765082005496,0.9822582264686971
987,1.0000718274052627,1.01069751712452
1597,1.0000291189566939,1.0016311135006588
2584,1.00001176544172,0.9969307096530119
4181,1.0000047395967642,0.9993678214965308
6765,1.0000019041754549,1.0003967394157485
10946,1.0000007631625838,0.9999874781701947
17711,1.0000003051889002,0.9997307639569722
